targetType,tLines,tLumin
1,397,3176.191
2,213,5361.613
3,185,956.864
4,579,10792.894
1,425,286.006
2,480,4479.46
3,429,12811.282
4,242,11012.303
1,311,4218.416
2,458,2639.805
3,244,8621.41
4,332,13927.657
1,596,9290.127
2,561,13813.82
3,706,17991.726
4,229,10368.804
1,566,6743.283
2,346,2045.042
3,269,15705.997
4,367,11070.529
1,104,21161.295
2,786,13339.378
3,236,6912.508
4,32,7693.509
1,418,7216.712
2,323,7171.92
3,361,22949
4,337,11924.834
1,339,8427.861
2,663,7141.047
3,333,12889.222
4,213,9605.246
1,343,12590.008
2,393,8278.165
3,192,9405.007
4,250,10399.9
1,360,12230.855
2,500,3114.82
3,404,9174.595
4,249,13804.543
1,385,13184.203
2,385,6353.912
3,373,13710.409
4,258,9720.896
1,167,30224.855
2,224,2706.59
1,427,16208.376
2,225,6869.035
3,380,13241.107
4,237,10368.804
1,364,4217.691
2,594,3623.031
3,156,28355.308
4,158,5116.488
1,480,10435.932
2,659,11481.401
3,662,15690.958
4,288,20639.591
1,411,13299.168
2,440,17156.437
3,241,7464.547
4,253,13118.423
1,160,4159.913
2,818,4999.539
3,286,12725.323
4,340,3599.842
1,520,7780.526
2,350,4625.223
3,219,6157.535
4,643,4531.433
1,470,6475.058
2,337,9685.368
3,279,14096.07
4,362,11924.834
1,277,10830.079
2,675,7141.047
3,445,10450.121
4,633,2403.902
1,235,1162.82
1,464,6431.178
2,557,12849.486
3,304,5785.002
4,864,14566.064
1,430,286.006
2,442,8139.541
3,325,4230.533
4,226,10368.804
1,253,10233.342
2,503,5844.972
3,342,22949
4,274,7971.726
1,385,5367.04
2,839,7253.069
3,209,11955.038
4,214,7755.948
1,265,13479.793
2,365,9245.917
3,351,3145.646
4,221,9372.424
1,329,5926.685
2,389,15861.319
3,232,27845.435
4,370,11070.529
1,329,5016.024
2,732,15666.942
3,585,17227.416
4,933,10110.903
1,487,5172.79
2,701,10814.117
3,245,6912.508
4,591,17350.942
1,511,10435.932
2,577,13575.396
3,388,4533.367
4,272,9720.896
1,247,19867.248
2,434,13510.968
3,404,8621.214
4,218,20968.509
1,332,7980.104
2,357,10544.944
3,341,4339.06
4,151,8060.665
1,234,1162.82
2,522,5825.26
3,336,19523.475
4,555,8367.067
1,601,21051.232
2,280,4774.584
3,211,8309.025
4,327,3599.842
1,730,10779.663
2,661,11481.401
3,206,19983.756
4,138,14557.922
1,319,4504.595
2,344,2045.042
3,368,30516.626
4,489,8595.281
1,475,11448.537
2,456,6108.076
3,314,11666.373
4,343,9214.733
1,431,12730.028
2,573,7807.941
3,261,13761.214
4,348,6367.015
1,272,2309.487
2,438,5445.016
3,369,10693.05
4,407,11147.852
1,508,10435.932
2,270,1128.941
3,177,11532.405
4,228,9605.246
1,470,11364.888
2,559,15625.316
3,374,13568.334
4,231,7755.948
1,289,10830.079
2,558,12092.548
3,350,19523.475
4,294,10436.278
1,500,9436.393
2,435,4835.154
3,581,17227.416
4,302,5295.048
1,476,11448.537
2,643,11481.401
3,170,6929.287
4,166,13372.563
1,386,4217.691
2,633,10944.841
3,222,13253.62
4,302,9919.672
1,536,5231.822
2,793,8479.261
3,346,10693.05
4,277,12143.768
1,508,7780.526
2,459,17156.437
3,352,11666.373
4,270,13118.423
1,523,13216.475
2,540,15625.316
3,247,14848.261
4,241,13804.543
1,243,1162.82
2,339,2503.763
3,256,7454.913
4,251,10399.9
1,302,11110.612
2,619,10944.841
3,269,15220.02
4,701,16284.277
1,395,13299.168
2,538,484.645
3,343,3145.646
4,36,7693.509
1,356,8427.861
2,573,12849.486
3,744,17991.726
4,246,6350.696
1,443,16208.376
2,456,8139.541
3,150,14792.948
4,530,8367.067
1,507,10435.932
2,228,2706.59
3,219,27845.435
4,174,7143.681
1,165,30224.855
2,476,4317.645
3,240,7464.547
4,59,10522.518
1,228,6698.196
2,366,9245.917
3,332,14222.618
4,130,8022.351
1,312,12592.416
2,260,10692.13
3,87,9121.372
4,195,12818.544
1,318,9476.044
2,604,3623.031
3,287,15705.997
4,320,3599.842
1,394,8062.174
2,387,6353.912
3,261,4443.074
4,693,7193.37
1,466,6475.058
2,585,9268.918
3,340,18026.669
4,349,9214.733
1,407,7216.712
2,485,14388.355
3,485,12377.681
4,220,4285.982
1,398,493.714
2,397,15861.319
3,316,14222.618
4,327,14548.908
1,334,13471.547
2,511,3114.82
3,226,5281.47
4,257,10399.9
1,577,8586.187
2,455,6108.076
3,177,6929.287
4,124,9861.54
1,246,1162.82
2,450,6288.65
3,912,11738.904
4,686,7193.37
1,353,8427.861
2,405,16639.993
3,120,17002.006
4,150,14557.922
1,171,4159.913
2,431,17156.437
3,162,14792.948
4,632,15721.361
1,308,4504.595
2,575,2394.338
3,340,4339.06
4,830,14566.064
1,815,14964.614
2,348,4090.849
3,359,18026.669
4,348,11924.834
1,463,2814.977
2,418,7485.678
3,224,8309.025
4,364,15696.264
1,206,1154.824
2,632,10944.841
3,261,15705.997
4,243,13804.543
1,517,7780.526
2,666,12009.704
3,284,5785.002
4,52,10522.518
1,478,11448.537
2,428,7927.466
3,363,30516.626
4,669,7737.035
1,268,10233.342
2,571,7807.941
3,440,12811.282
4,494,9826.657
1,460,5172.79
2,566,13813.82
3,333,11666.373
4,152,13372.563
1,281,10830.079
2,825,7253.069
3,249,7454.913
4,264,13118.423
1,462,11364.888
2,330,9685.368
3,219,27845.435
4,277,20639.591
1,328,17728.909
2,347,4090.849
3,323,12889.222
4,360,1042.472
1,361,13184.203
2,653,7149.01
3,431,9040.159
4,675,4531.433
1,470,10341.411
2,439,17382.951
3,463,4027.617
4,426,10327.337
1,243,1162.82
2,709,10814.117
3,695,17137.254
4,342,14548.908
1,137,1307.966
2,539,15625.316
3,125,9307.955
4,39,12069.174
1,464,11986.028
2,431,7485.678
3,260,15705.997
4,355,15696.264
1,482,11448.537
2,517,5825.26
3,408,9174.595
4,680,2403.902
1,349,17196.129
2,617,5360.047
3,268,12725.323
4,342,6367.015
1,365,14.106
2,717,15666.942
3,260,13761.214
4,376,12533.849
1,515,13216.475
2,235,6869.035
3,155,14792.948
4,339,11924.834
1,537,6743.283
2,835,4999.539
3,699,17991.726
4,546,8367.067
1,446,286.006
2,479,5844.972
3,173,8338.66
4,165,16965.12
1,211,1154.824
2,326,8543.864
1,290,20451.329
2,413,4835.154
3,685,20396.175
4,491,13607.478
1,230,6698.196
2,752,13339.378
3,358,30516.626
4,232,9372.424
1,298,18506.823
2,577,5360.047
3,456,9040.159
4,207,5515.816
1,216,11431.682
2,467,5073.789
3,398,8621.214
4,321,9468.883
1,295,11110.612
2,820,8479.261
3,360,22949
4,678,3488.251
1,748,10779.663
2,572,7807.941
3,298,12725.323
4,290,20639.591
1,452,4371.273
2,552,15625.316
3,155,14792.948
4,225,7755.948
1,141,1307.966
